word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
opium,1850,0,248,6,4.6899,True,"the opium trade with china. last night a public meeting was held at the literary institution,aldersgate-street, on the subject of the opium trade with china, a..."
opium,1850,0,248,7,4.7293,True,"the opium trade with china. last night a public meeting was held at the literary institution,aldersgate-street, on the subject of the opium trade with china, a..."
opium,1850,0,248,11,4.822,True,"...f albemarle gave notice of his inten- tion, on monday ""nrx:-„ to more for certain returns on the subject of the infl,ction of torture in india. th 1$ opium monopoly. the ea"
opium,1850,0,248,13,4.8734,True,"for, in the main, by exports of opium from india in 18s7-58 the value of expor ia from thence to china having been estimated at £9,366,800, and the imports from china only at £915,000. th..."
opium,1850,0,248,14,4.8907,True,"the opium trade with china. last night a public meeting was held at the literary institution,aldersgate-street, on the subject of the opium trade with china, a..."
opium,1850,0,248,16,4.9011,True,fliday. the lord chancellor twilt his seat on the woolsack at 5 o'clock. lord shaftemruht prssetted a petition against traffic in opium from grassendale. the duke of a itt;% yr. withdrew the motion of
opium,1850,0,248,17,4.9062,True,"the opium question in india. pa wednesday evening, a very spi i ed and num:lron:ly attended meeting, conducted on the novel plan. of question and answer, tool•..."
opium,1850,0,248,23,5.0016,True,"parry, and the prisoner was remanded in order that a witness might be called to identify the balls of opium. esterday mr. f. royle called, and said—l am a doctor'of medicine, and am in the employment "
opium,1850,0,248,24,5.0148,True,"...f albemarle gave notice of his inten- tion, on monday ""nrx:-„ to more for certain returns on the subject of the infl,ction of torture in india. th 1$ opium monopoly. the ea"
opium,1850,0,248,26,5.0431,True,"for, in the main, by exports of opium from india in 18s7-58 the value of expor ia from thence to china having been estimated at £9,366,800, and the imports from china only at £915,000. th..."
opium,1850,0,248,28,5.0677,True,"parry, and the prisoner was remanded in order that a witness might be called to identify the balls of opium. esterday mr. f. royle called, and said—l am a doctor'of medicine, and am in the employment "
opium,1850,0,248,30,5.084,True,"china. it is said that the emperor of china has com- manded hie ministers to draw up a report on the opium trade. the late emperor was opposed to the opium trade in any form; his representatives, whil"
opium,1850,0,248,32,5.1089,True,"the north. china herald says that an imperial duty upon opium has at length been imposed at this port. small boats, with official flags flying, hav- ing been stationed near the opium ships at woo- sun"
opium,1850,0,248,33,5.1406,True,"suppression of the opium traffic with china. on thursday, a meeting of the society for the sup- pression of the opium smuggling in china, was held at the freemason's tavern, ..."
opium,1850,0,248,38,5.1844,True,"the opium trade. in answer to a question from the earl of &lutes- eubt, the lord chancellor said that, in conse- quence of what had passed in this house list s..."
opium,1850,0,248,41,5.2408,True,"...hina. we have news from china via penang, dated 10th july, from hong kong, and shanghai 28th june the screw-steamer laucefield had arrived. prices of opium at hong kong—patna 327 a, benares 335, and "
opium,1850,0,248,46,5.2737,True,"the opium trade in china. in the discussion on india, in section f., on friday, sir john bowhin6 said he did not mean to enter into the all-important question ..."
opium,1850,0,248,47,5.2766,True,...r2.srta' tuesday mo) ...e dye e... england. of considerable t. sept. the rir though hipped. much v- the fortnight has been one. _ jie interest in the opium market. the accounts from
opium,1850,0,248,48,5.281,True,...r2.srta' tuesday mo) ...e dye e... england. of considerable t. sept. the rir though hipped. much v- the fortnight has been one. _ jie interest in the opium market. the accounts from
opium,1850,0,248,51,5.3047,True,"for, in the main, by exports of opium from india in 18s7-58 the value of expor ia from thence to china having been estimated at £9,366,800, and the imports from china only at £915,000. th..."
opium,1850,0,248,52,5.3069,True,"...e.—nou. 27. mansion-house.—augustin hennnins was broughet before harge the d wi lethhr,r mayor ilving for stolen final f,ju examina- tion, r b:,iisof opium, several books, and some m"
opium,1850,0,248,55,5.3661,True,"opium revenuf. 8. by far the greater part of the opium imported into china is prepared by the british government in india, expressely with that view. it is..."
opium,1850,0,248,64,5.4687,True,"lighting of towns (ireland) act amend ment bill. this bill was read a third time and passed. the opium trade with china. on the motion of mr. murrough, who emphati- cally and at some length denounced "
opium,1850,0,248,66,5.4795,True,"...hina. we have news from china via penang, dated 10th july, from hong kong, and shanghai 28th june the screw-steamer lancefield had arrived. prices of opium at hong kong—patna 321, benares 335, and ma"
opium,1850,0,248,69,5.5296,True,"...lligence.—nov. 27. mansion-house.—augustin hemming was brought before the lord mayor for final examina- tion, charged with having stolen lur balls of opium, several books, and some mops and"
opium,1850,0,248,72,5.573,True,the manufacture and sale of opium by tee east india company. we are at length in possession of the opinion of council upon the two questions submitted to them by her majes- ty's gover...
opium,1850,0,248,74,5.583,True,opium having been recently sold by pirates in the north. it is rumoured that the pirates are in great force off the mouth of the min and about namoa. her m...
opium,1850,0,248,77,5.6116,True,"lighting of towns (ireland) act amend nient bill. this bill wal read a third time and passed. _ the opium trade with china. oa the motion of mr. murro ugh, who emphati- cally and at some length denoun"
opium,1850,0,248,81,5.646,True,"opium revenuf. 8. by far the greater part of the opium imported into china is prepared by the british government in india, expressely with that view. it is..."
opium,1850,0,248,83,5.6627,True,"the north. china herald says that an imperial duty upon opium has at length been imposed at this port. small boats, with official flags flying, hav- ing been stationed near the opium ships at woo- sun"
opium,1850,0,248,86,5.6976,True,about the chinese. passion for opium. a. chinaman loves opium as he loves nothing else- the head of a parsee house at hong-kong was so civil as to take me into his warehouse and to open ...
opium,1850,0,248,90,5.7605,True,"facts, fiction, and faceti/e. consumption op opium.—from an official report, just published, it appears that during the taa flee months, the enormous quantity of 63,3,5411i5. of opium has been im- por"
opium,1850,0,248,91,5.7621,True,"opium in india. a deputation .from the anti-opium association waited on wednesday upon sir charles wood, at the india house, to lay before the !government ..."
opium,1850,0,248,93,5.7722,True,"consumption of indulged entertain views they c opium, now carried on to india and china. they' 4. they believed, in come that this traffic end invo. a great laws ot nation ever yet the iieheet lambs i"
opium,1850,0,248,95,5.7775,True,"sale of opium in ciiina. yesterday was issued, in the form of a return re parlia meat, a copy,of the legal opinion taken by the east latlla company, and dated the ..."
opium,1850,0,248,99,5.8332,True,the opium trade. the earl of shaftesbury asked the cause of the delay in ascertaining the opinion of the law officers of the crown with respect to the legality...
opium,1850,0,248,101,5.9143,True,about the chinese. passion for opium. a. chinaman loves opium as he loves nothing else- the head of a parsee house at hong-kong was so civil as to take me into his warehouse and to open ...
opium,1850,0,248,104,5.9543,True,"commercial intelligence. calcutta, may 17. the fifth opium sale of the season was held on the 12th inst., when 3,435 chests realised 3,223,225 com- pany's re., or two lacs leas than the april sale. th"
opium,1850,0,248,106,5.9634,True,"america. mr. horsfall gave notice that on tuesday neat he would call the attention of the house to this subject. importation of,opium into japan. sir e. perry ffivihtd of the under secretary of state "
opium,1850,0,248,107,5.9799,True,"sale of opium in ciiina. yesterday was issued, in the form of a return re parlia meat, a copy,of the legal opinion taken by the east latlla company, and dated the ..."
opium,1850,0,248,108,5.983,True,"opium in india. a deputation .from the anti-opium association waited on wednesday upon sir charles wood, at the india house, to lay before the !government ..."
opium,1850,0,248,111,6.0352,True,"...f albemarle gave notice of his inten- tion, on monday ""nrx:-„ to more for certain returns on the subject of the infl,ction of torture in india. th 1$ opium monopoly. the ea"
opium,1850,0,248,118,6.1309,True,the opium trade. the earl of shaftesbury asked the cause of the delay in ascertaining the opinion of the law officers of the crown with respect to the legality...
opium,1850,0,248,119,6.162,True,"the opium quutiqm. deputation to sie charles— wood. yesterday afternoon a depatatioa of gentlemen eammened with the anti- opium assodatioa, end others = op. zt..."
opium,1850,0,248,121,6.2308,True,"anti-opium association. a deputation from this association, consisting of the chairman and secretary, with the rev. w. arthur, secretary of the wesleyan mission..."
opium,1850,0,248,124,6.2874,True,"suppression of the opium traffic with china. on thursday, a meeting of the society for the sup- pression of the opium smuggling in china, was held at the freemason's tavern, ..."
opium,1850,0,248,125,6.2993,True,the manufacture and sale of opium by tee east india company. we are at length in possession of the opinion of council upon the two questions submitted to them by her majes- ty's gover...
opium,1850,0,248,129,6.3577,True,"...tter from china (from ae cyri•espondent.) shanghai, oct. 17. salance cr trade. the reader who may haply have followed me through my discussion of the opium trade will probably have long "
opium,1850,0,248,133,6.436,True,america. mr. horsfall gave notice that on tuesday next he would call the attention of the house to this subject. importation of opium into japan. sir e. perry inquired of the under secretary of state 
opium,1850,0,248,134,6.436,True,america. mr. horsfall gave notice that on tuesday next he would call the attention of the house to this subject. importation of opium into japan. sir e. perry inquired of the under secretary of state 
opium,1850,0,248,135,6.439,True,"suppression of the opium traffic with china. on thursday, a meeting of the society for the sup- pression of the opium smuggling in china, was held at the freemason's tavern, ..."
opium,1850,0,248,136,6.4561,True,"the opium trade. the motion which stood in his name present. mr. c. gilpingave not.ice thtforhethwutoulsddaywiltxhtlrarew- lative to this question, for the mou..."
opium,1850,0,248,139,6.5354,True,"sale of opium in ciiina. yesterday was issued, in the form of a return re parlia meat, a copy,of the legal opinion taken by the east latlla company, and dated the ..."
opium,1850,0,248,140,6.5359,True,"the opium trade with china. last night a public meeting was held at the literary institution,aldersgate-street, on the subject of the opium trade with china, a..."
opium,1850,0,248,141,6.5402,True,"c'inositins ►us english opium enter. london • sunpkin and mantball. th►s is a half-crown reprint of a brilliantly-written, but in some respects except ble, work. in spite of the e..."
opium,1850,0,248,147,6.6596,True,"opium dens. the chinese exhibition was sufficiently disgusting. but was otherwise quite a failure. these opium dens are ordinary chinese cottages, with • r..."
