word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
cocoa,1910,0,672,4,4.7107,True,"ramon cocoa is ten times more nutpitious daao oramary cocoa -vrds lancet. cocoa in perfection, 9d., 1/4, 2,6. supplied to the royal family. a special art metal b..."
cocoa,1910,0,672,12,4.9897,True,.... 'mbles vi-cocea thanked for what they sell. bettor. of thanks keep pt.uring in from tvery county in britain to the manufacturer. of br. tibbles' vi-cocoa. the f
cocoa,1910,0,672,13,5.0782,True,"lli/ sailors' and your welcome tins of w elco cocoa arrived this morning, thank you very much; it is considered the best we have ever tasted."" [he soldiers do enjoy it so much; these ights one wants a"
cocoa,1910,0,672,14,5.0931,True,"sketch of free those who are already users of rowntree's elect cocoa will welcome these two handsome souvenirs, although they really need no such inducement to continue using it. they find the cocoa s"
cocoa,1910,0,672,15,5.1197,True,"in *0 -9s coa don't be content just to read about collinson's cocoa ;—don't risk a shortage of fat in your diet, but go to your grocer and get a fib tin to-day, and lest it—the cost is only iod. also "
cocoa,1910,0,672,23,5.2131,True,"rowntree's elect 'whether you are a cocoa drinker or no, ta4 advantage of this exceptional opportunity to test the excellence of rovvntree's. if you once began a tin of cocoa and lost interes..."
cocoa,1910,0,672,24,5.2176,True,"... tibbles' vi-cocoe thanked for what they sell letters of than i, keep pouring in from every minty in britain to the manufactureros of be. tihbles' vi-cocoa. the f"
cocoa,1910,0,672,25,5.2214,True,"five cups a penny. iirtal rhat cocoa forms part of our *old- ie sufficient to show the ingtsagagingt= upon its nutritive proper. ties by the y authorities. to the chilila, cocoa is even ..."
cocoa,1910,0,672,26,5.2246,True,letters of thanks. manufacturers of dr. tlbbles vi cocoa thanked for what they sell. lettera of thanks keep pouring 01 fl m every county in britain to the manuracturers of dr.tibblee' vi-cocos. the fa
cocoa,1910,0,672,27,5.2246,True,letters of thanks. manufacturers of dr. tlbbles vi cocoa thanked for what they sell. lettera of thanks keep pouring 01 fl m every county in britain to the manuracturers of dr.tibblee' vi-cocos. the fa
cocoa,1910,0,672,28,5.2272,True,"rowntree's elect 'whether you are a cocoa drinker or no, ta4 advantage of this exceptional opportunity to test the excellence of rovvntree's. if you once began a tin of cocoa and lost interes..."
cocoa,1910,0,672,29,5.2365,True,"acbcoa it rnake.3 all the difference. every zrocez sells vi- cocoa in 6d packets, and 9d and 146 tins. .1f id ,-- i tpit if ~"
cocoa,1910,0,672,30,5.2421,True,"r. arkell. (to be eonfinued.) /the delicious flavour of rowntree's cocoa at once puts you on good terms with yourself. it is a real pleasure to drink it, for it tastes so much nicer than ordinary coco"
cocoa,1910,0,672,31,5.2582,True,"moderation is necessary. thus, while tea and coffee and cocoa are to be reckoned necessary they should be used on a definite plan. custom has placed them in eom. manding positions upon the breakfast a"
cocoa,1910,0,672,33,5.2622,True,"pontypridd. mr. w. miles, 51, trehafod road, tre- hafod, near pontypridd, writing on the 27th june, 1910, says.:—"" i have wed dr. tibbles' vi-cocoa for the past nine years and find none so good. vi-co"
cocoa,1910,0,672,34,5.2669,True,"""i used to laugh at him a little."" women workers' series. niy husband has taken cocoa for years, and i used to laugh at him a little because he set such store by it. he's a big strong man, and i did n"
cocoa,1910,0,672,39,5.2781,True,iles' ••• cocoa —it makes all the difference. every grocer sells vi-cocoa in 6d. packets and 9d. and is. 6d. tins. 13 semi-final. ench j war barton 11 final. w cotta...
cocoa,1910,0,672,44,5.2958,True,"the christmas hamper. a custom which seems to be growing rapidly into public favour is that of including a tin of cocoa in the christmas hamper. after all, it is the practical present that is apprecia"
cocoa,1910,0,672,47,5.3172,True,"a €44,0 • / i used to laugh at him a little."" my husband has taken cocoa for years, and i used to laugh at him a little, because he set such store by it. he's a big, strong man, and i did not think he"
cocoa,1910,0,672,48,5.3206,True,"special cut out there is still time cash this voucher you may drink cocoa regularly, you may drink it rarely, you may never drink it at all—but take advan- tage of this excellent opportunity to test t"
cocoa,1910,0,672,49,5.3292,True,"• 6, ili my husband has taken cocoa for years, and i used to laugh at him a little because he set such store by it. he's a big strong man, and i did not think he needed cocoa. it never ..."
cocoa,1910,0,672,50,5.3593,True,bbles cocoa —it makes all the difference. every grocer sells vi-cocoa in gd. packets and 9d. and 18.6 d. tins.
cocoa,1910,0,672,54,5.3662,True,"genuine rolled gold spectacles, eye glasses, or rimless, throushout the world ""fry's of bristol- is known as the synonym for cocoa and choco- lat, in their purest anl most delicious forms. the history"
cocoa,1910,0,672,57,5.3737,True,test them side by side. perhaps you may be using another cocoa. now you can test the two cocoas side by side. note the delicious flavour and refreshing fragrance of rowntree's. note the comparative ea
cocoa,1910,0,672,64,5.397,True,test them side by side. perhaps you may be using another cocoa. now you can test the two cocoas side by side. note the delicious flavour and refreshing fragrance of rowntree's. note the comparative ea
cocoa,1910,0,672,65,5.4017,True,"i used to laugh at v him a little."" my ht,,hand has taken cocoa for years, a and 1 used to laugh at him a little because hc set luch store by it. he's a big, strong man, anl i did not think he needed "
cocoa,1910,0,672,70,5.4251,True,"welco cocoa. welco cocoa, which has the additional recom- mendation of being prepared locally, is a fine nourishing drink, and its price has not been raised to a..."
cocoa,1910,0,672,74,5.4331,True,"sunlight soap i used to laugh at him a little."" y husbancf has taken cocoa for years, and i used to laugh at him a litt!e because he set such store by it. he's strong man, and i did not think he d coc"
cocoa,1910,0,672,80,5.4517,True,"penistone urban council. a cap of 4, 9 g el. porkers ""i used to laugh at him a little"" :vey husband has taken cocoa for years, and i used to laugh at him a little because he set such store by it. he's"
cocoa,1910,0,672,83,5.4579,True,"ivey husband has taken cocoa for years, and i used to laugh at him a little because he set such store by it. he's a big strong man, and i did not think he needed cocoa. it never ..."
cocoa,1910,0,672,84,5.4586,True,"pontypridd. mr. w. miles, 51, trehafod road, tre- hafod, near pontypridd, writing on the 27th june, 1910, says.:—"" i have wed dr. tibbles' vi-cocoa for the past nine years and find none so good. vi-co"
cocoa,1910,0,672,88,5.4706,True,acccocoa ft nakte all tbe difference. every grocer sell. vi. cocoa in cd. packets and 9d and 13. c. tine.
cocoa,1910,0,672,89,5.4727,True,"0 cocoa b e l c wouldst thou conserve the bloom o' youth? the secret 's in three words forsooth:— drink welco cocoa.' john ilothwell, the cocoa factory, colb..."
cocoa,1910,0,672,96,5.493,True,_ strength i w bed snot thai asn't nearly so tired when i got to a night; and next day i started with _..er cup of cocoa; and the work seemed iar lighter than before. i don't laugh at my husband any m
cocoa,1910,0,672,97,5.4944,True,"workersfind welco (pure cocoa) an excellent drink. welco is splendid for carrying out to work in the mines, in the mills, or at the workshops. welco may be kept hot for lengthy pe..."
cocoa,1910,0,672,100,5.5011,True,"trenches. l„.l dear sir, yours, john rothwell, the cocoa factory, golborne. liquor and, munitions. areas scheduled _under state june 23rd, 1915. will you kindly send me one of your free gifts of choco"
cocoa,1910,0,672,102,5.502,True,all marcarine v- per lb. cocoa and cocoa butter under control. by new orders cocoa is brought under contra: at all 'stages of its manufacture anf 1w tirade sale. the powder is in t...
cocoa,1910,0,672,104,5.5067,True,"is the cocoa with a charm >erative store nov, me fic £i.sl ~ acid concessions in west -1- parts of the british ch to supply raw materials es e home. at luton it :..."
cocoa,1910,0,672,107,5.5138,True,"that's why i like t • 4 t ••3 • 4 • •'k -' .:•• • :. • ~'„: ,• • ‘, • ~ ••,,' .•:,,,,, • • •,' i • elect cocoa? no-other cocoa has the delicious rowntr ee flavour. an) ater moo vw aft imp t 44110 4ini"
cocoa,1910,0,672,108,5.5141,True,"home-made cubes. whoever goes without tea, or coffee, ot cocoa in the-se days, the family hero must not. the best and one of the most economdcal ways of .senewig these commodities to him is in the+ fo"
cocoa,1910,0,672,116,5.5319,True,"""help yourselves!"" buy rova cocoa regularly, and whilst getting a better cocoa for less money gain for your children a rova gift casket of choco- lates by sav:ng 12 coupons from 41d. ..."
cocoa,1910,0,672,117,5.5325,True,"... tibbles' vi-cocoe thanked for what they sell letters of than i, keep pouring in from every minty in britain to the manufactureros of be. tihbles' vi-cocoa. the f"
cocoa,1910,0,672,118,5.5341,True,"on every of cocoa. we have arranged for your grocer until april 27th, to make a special trial allow- ance of id. on a *-lb. tin (or any other size) if you will fill in..."
cocoa,1910,0,672,121,5.5399,True,test them side by side. perhaps you may be using another cocoa. now you can test the two cocoas side by side. note the delicious flavour and refreshing fragrance of rowntree's. note the comparative ea
cocoa,1910,0,672,123,5.5443,True,"t""'""7::,. -,. ....1 1 • t.:, 1 ki -- \ if-y -, t\ ..,..nr4ta; 4-• 4,,q 5---rt ant • appetising. as you pour the boiling water on rova cocoa what a ddicious aroma it sends forth. that is because it :s "
cocoa,1910,0,672,125,5.5541,True,"five cups a penny. iirtal rhat cocoa forms part of our *old- ie sufficient to show the ingtsagagingt= upon its nutritive proper. ties by the y authorities. to the chilila, cocoa is even ..."
cocoa,1910,0,672,126,5.5542,True,"i 4€ magazine page. with different meanings. ""cacao, coca, and cocoa are words that mean entirely different things,"" said a chemist, recently. ""they are not inter- changeable: _ ""cacao im chocolate. i"
cocoa,1910,0,672,127,5.5564,True,"...you prefer? / i alir or an oz. of steak, or teak is a tine food, very rich in the elements i that make blood and bone and sinew—and so is collinson's cocoa. but though steak a and collinson's"
cocoa,1910,0,672,128,5.5621,True,"concerning the cocoa and choco- late duties. terminological inexactitudes versus facts. april 16th, 1907.—"" the duties have a flavour of protection.""—mr. asquith's budget..."
cocoa,1910,0,672,129,5.5624,True,"the delicious flavour of rowntree's cocoa at once puts you on good terms with yourself. it is a real pleasure to drink it, for it tastes so much nicer than ordinary cocoas. at the first sip y..."
cocoa,1910,0,672,130,5.5644,True,"a tea talk. from clateshead 'eros"" writes: ""will you pardon my temerity if i ask you to devote a space to the value of tea, coffee, and cocoa as foods and stimulants individually and in relation to ea"
cocoa,1910,0,672,132,5.5719,True,"to something they can 'dwell upon"" c for home-made bread, economical and reliable. send welco cocoa! j 3 _ ..,, ..........., .......:,-,..., •, ,• • co 9d. -..•,.' • cocoa apikltb: \ ~,, -. • ,0 ...,,"
cocoa,1910,0,672,133,5.5724,True,"""boat cm i 1 i i i i %` 114s-'s r"" oco -foment el, because of its high concen- tration collinson's 'orient' cocoa is the finest value obtainable. one quarter pound packet will make 40 cups of this mos"
cocoa,1910,0,672,140,5.6001,True,"cogrip / goaaris. / _ __ • api ..... ,-- 0 -00/1:1 ••■■=l% ""orient"" ca, oco • ‘ because of its high concen- tration collinson's 'orient' cocoa is the finest value obtainable. one quarter pound packet "
cocoa,1910,0,672,142,5.6052,True,"the food of the gods. indignation still rages in the radical breas over the infamous cocoa poster, from the mo select cocoa circles to the dubs of the radical wor ing men, where that grateful and comf"
cocoa,1910,0,672,144,5.6217,True,"""help yourselves!"" buy rova cocoa regularly, and whilst getting a better cocoa for less money gain for your children a rova gift casket of choco- lates by sav:ng 12 coupons from 41d. ..."
cocoa,1910,0,672,145,5.6329,True,"that's why i like 9: elect cocoa no other cocoa has the dalicious rowntree flavour. ellit4sub impr,alllr mir own qm ea qiir ""or 41111. gewinap eposap tawrofer e 4-72"
cocoa,1910,0,672,147,5.6352,True,"on every of cocoa. we have arranged for your grocer until april 27th, to make a special trial allow- ance of id. on a *-lb. tin (or any other size) if you will fill in..."
cocoa,1910,0,672,148,5.6359,True,"ramon cocoa is ten times more nutpitious daao oramary cocoa -vrds lancet. cocoa in perfection, 9d., 1/4, 2,6. supplied to the royal family. a special art metal b..."
cocoa,1910,0,672,153,5.6497,True,"... 26, st. barnobas'-place, oft lovely-lane (evelyn-street council school).- t*/=""o°' 74,5"" '44'. rsed to laugh at him a little."" nly husband has taken cocoa for y"
cocoa,1910,0,672,156,5.664,True,"that's why hike • .•... •.. elect cocoa no other cocoa has the delicious rowntree flavour. 1t,.754,m, omp_imatium..•mte ems, ow imp wo osp imp nw alb_ 111110 4110 orap."
cocoa,1910,0,672,157,5.666,True,british ‘. ure cocoa always ask for cheapest and best. 7d. per -4 lb. tin. save the coupons. john rothwell the cocoa factory. golborne. lanes i 11 • • • • r .. r / • .. r...
cocoa,1910,0,672,158,5.6663,True,"weleo cocoa. welco cocoa, which has the additional recom- mendation of being prepared locally, is a fine nourishing drink, and its price hag not been raised to a..."
cocoa,1910,0,672,162,5.674,True,"lli/ sailors' and your welcome tins of w elco cocoa arrived this morning, thank you very much; it is considered the best we have ever tasted."" [he soldiers do enjoy it so much; these ights one wants a"
