word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
coffee,1900,0,598,2,5.0246,True,"brierfield. best place in burnley for good dinners and teas is thornton's restaurant and coffee tavern, 3, bridge-street, (close to tram cen- tre). visitors to town will find here every comfort. 867 g"
coffee,1900,0,598,3,5.065,True,"brierfield. best place in burnley for good dinners and teas i, thornton's restaurant and coffee tavern, 3, bridge-street, (close to tram cen- tre). visitors to town will find here every comfort. 867 g"
coffee,1900,0,598,4,5.1129,True,"barr.owford. best place in burnley for good dinners and teas is thornton's restaurant and coffee tavern, 3, bridge-street, (close to tram cen- tre). visitors to town will find here every comfort. 867 "
coffee,1900,0,598,6,5.2696,True,"lilt! eicii etd. best place in burnley for good dinners and teas is thornton's restaurant and coffee tavern, 3, bridge-street, (close to tram cen- tre). visitors to town will find here every comfort. "
coffee,1900,0,598,7,5.2704,True,"brierfield: best place in burnley for good dinners and teas is thornton's restaurant and coffee tavern, 3, bridge-street, (close to tram cen- tre). visitors to town will end here every comfort. 867 g "
coffee,1900,0,598,8,5.2967,True,"... staff party. at the-cif-co.-of the annual business meeting of the haslingden staff of the refuge assurance co. on wedricsday, there was a tea at the coffee tavern, and subsequently songs wer"
coffee,1900,0,598,10,5.4344,True,"golden wedding. tile golden wedding of m. and m. bedford, pietadilly-kreet. helmnbore. wins celebreedat the ha.ling-den coffee tavern on ttatarday. mr. bedford was until recently engaged in the lieatt"
coffee,1900,0,598,12,5.4553,True,"a carver's death. george hopkinson who was employed es a carver at the coffee palace, central beach, died suddenly on the premiaes on sunday. annie webster, the cook, who resides at the restaurant, st"
coffee,1900,0,598,15,5.5288,True,"...ower•loom overloosers' association. —on saturday evening the annual tea party and public i meeting n connection with this aisociation was held in the coffee tavern, sackvillii-street. about "
coffee,1900,0,598,16,5.5469,True,"coventry trades council. the coventry and district trades and labour council met on thursday evening at the alexandra coffee tavern, under the presidency of mr. 11. farren. mr. g. newcombe (secretary)"
coffee,1900,0,598,20,5.6361,True,"_ scene in a restaurant. thomas davison (21), signalman on board bedford, at chatham, was charged with asqault, and with refusing to quit :wallaby's coffee howe, linthorpe-road.—the evident showed tha"
coffee,1900,0,598,21,5.6426,True,"p one of the cheapest and most comfortable family hotels in wales. splendid commercial room, coffee room and drawing koons, face the sea. terms from 2i guineas per week, or 91. per day. ac'ording to b"
