word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
tea,1880,0,9905,1,4.8306,True,"new year at leece. on monday last, there was the annual tea and entertainment held in the united methodist free church, leeee. at half-past four the tables were set out with a bounteous supply of ham "
tea,1880,0,9905,2,4.8329,True,"entertainment at pordington. the second annual tea and entertainment, in connection with the fordington working men's club, took piece on thursday last, and was attended with success. toe tea was held"
tea,1880,0,9905,3,4.8441,True,"hebden bridge, headen bridge industrial co-operativ/i society. —the annual tea party and public meeting in con- nection with the above society was held on satur- day evening, and passed off with great"
tea,1880,0,9905,4,4.8472,True,"hebden bridge, headen bridge industrial co-operativ/i society. —the annual tea party and public meeting in con- nection with the above society was held on satur- day evening, and passed off with great"
tea,1880,0,9905,7,5.0049,True,"y.m.c.a. tel meeting. the fourth annual tea meeting in connection with the young men's christian association, blackpool, was held on wednesday last, in the prince of wales theatre. about 250 pe..."
tea,1880,0,9905,8,5.018,True,"...hildren.—on friday the children attending the parish school had their annual treat. they assembled at the schoolroom at three o'clock, when a cspital tea was supplied to "
tea,1880,0,9905,11,5.0796,True,"benevolent society. the annual tea and meeting in connection with this excellent society was held in the wellington hall, on monday evening. at five o'clock tea was provided in the hal..."
tea,1880,0,9905,13,5.1265,True,"long wood. workpeople's tea.—the hands in the employ of mr. joseph hoyle, manufacturer, longwood, assembled for tea in the baptist schoolroom, on saturdsy last, when about do sa..."
tea,1880,0,9905,14,5.129,True,"blue coat school. the annual tea and entertainment in connection with these schools was held on tuesday, when about 120 persons pirtook of an excellent tea. many old blues, both male..."
tea,1880,0,9905,15,5.1332,True,"...ildren.—on friday the children attending the parish school had their annual tr lat. they assembled at the schoolroom at three o'clock, when a cspital tea was supplied to"
tea,1880,0,9905,18,5.1418,True,"ashton. tea party and concert at stubsiiaiv cross.-011 monday the annual tea party and concert was held at st. luke's schools, stubshaw cross. an excellent tea w..."
tea,1880,0,9905,19,5.1431,True,"entertainment at pordington. the second annual tea and entertainment, in connection with the fordington working men's club, took piece on thursday last, and was attended with success. toe tea was held"
tea,1880,0,9905,20,5.1508,True,brighouse and ra.strick liberal club. on saturday last the annual tea party and enter- tainment in connection with the brighouse and rastrick liberal club took place. the demand for tickets was very g
tea,1880,0,9905,21,5.1674,True,sailors' bethel. the annual tea and meeting took place at the bethel on wednesday evening. a really sumptu- ous tea was provided and enjoyed by over 200 persons; the following ladie...
tea,1880,0,9905,25,5.1903,True,"padgate wesleyan sunday school. the annual tea meeting in connection with the above school was held on thursday. about 150 persons sat down to an excellent tea, which was provided in the school-ro..."
tea,1880,0,9905,26,5.198,True,"tee stourbridge observer. amblecote. • annual parochial tei..--the atmual tea party and entertainment was held in the national school', coalbournbrook, on monday last. about 180 were nresent to a capi"
tea,1880,0,9905,27,5.2011,True,"fleetwood wesleyan sunday school. _ the annual tea meeting in connection with the above sunday school took place on new year's day, when a large number sat down to an excellent tea in the school-room,"
tea,1880,0,9905,28,5.2151,True,"ashton- tea party and concert at stubshaw coss.—ota monday the annual tea partrand concert was held at st. luke's schools, stubshaw cross. an excellent tea was p..."
tea,1880,0,9905,29,5.2186,True,"padgate west), yan sunday school. on thursday evening the annual tea meeting in con- nection with the above-named school was held in the schoolroom, padgate. there were about 130 persons present at th"
tea,1880,0,9905,30,5.2193,True,"...tions which were talc, n for the iluddersti-11 infirmary on sun- day, amounted to £4. tim congregations were average. on tuninlay even;ure the annual tea and entfrtai"
tea,1880,0,9905,31,5.231,True,"wareham. sunday schools centenary.--.the centenary was celebrated here on thursday. at half-past two o'clock the children and teachers to the number of between 700 and 800, all wearing the sunday scho"
tea,1880,0,9905,33,5.2347,True,"district news. ton du. carey chapel.—a social tea and entertain- ment was held in connection with the young men's improvement class on saturday last. the tea, which was of excellent quality, was prov..."
tea,1880,0,9905,34,5.2353,True,benevolent society. the annual tea and meeting in connection with this admirable institution were held in the welling. ton hall on monday evening. at live o'clock an excellent tea was ...
tea,1880,0,9905,35,5.2378,True,"barrow island reading-room and library. the bowlers' annual tea and concert was held at the coffee tavern. old barrow, on friday last. in the unavoidable absence of the president (mr. w. john), the ch"
tea,1880,0,9905,38,5.2409,True,"rawoliff e. --- chisistmas trice, 'dca party, and entertain ment,—a children's treat, tea-party, and entertain- ment, was held in rawcliffe hall schoolroom, on friday, january 20th. the centre of attr"
tea,1880,0,9905,43,5.2541,True,"teiornt on. wesleyan tea meeting. ,—this annual gathering was held in the wesleyan chapel, on monday evening, and, favoured with most propitious weather, was well attended, a..."
tea,1880,0,9905,46,5.2639,True,"church of england sunday schools. a monster tea of the combined sunday schools of the church of england was held in the national higher grade schools, oxfori-etreet, where the children of the follo..."
tea,1880,0,9905,48,5.2702,True,"... annual ti a and entertainment, in connection with the fordingtin working men's club, took place on thursday last, and was attended with success. the tea was he"
tea,1880,0,9905,52,5.2823,True,"warafiax. simpayhools czntznaby.-.the centenary was celebrated here on thursday. at half-past two o'clock the children and teachers to the number of between 700 and 800, all wearing the sunday school "
tea,1880,0,9905,54,5.2924,True,"st almine. sunday-school tea party.—the third annual tea meeting in connection with the stalmine sunda:y school took place on wednesday afternoon last. this school, under the sup..."
tea,1880,0,9905,55,5.2927,True,"porthcawl. teal meeting and entertainkent.-011 wednes- day afternoon, the 17th inst., the members of bethel calvinistic chapel held their annual tea meeting. there ..."
tea,1880,0,9905,56,5.2985,True,bt. mary's catholic schools. between thirteen and fourteen hundred of the children connected with st. mary's catholic schools word entertained at tea in the exchange hall on thursday afternoon. it has
tea,1880,0,9905,57,5.3018,True,"st. john's church tea party. the annual tea meeting in connection with st. john's parish church, blackpool, was held in the assembly rooms, talbot-road, on tuesday evening..."
tea,1880,0,9905,58,5.3033,True,"dalton, askam,_ and lindal. ._ asillia ciiitecn ranity.—the annual tea party and deem, in connection with the ask= church. was held on new year's day, in the askant national schools- .some 200 persons"
tea,1880,0,9905,59,5.3073,True,"...ay school centenary celebration. on thursday there was another public meeting held in connection with the celebration of the centenary, preceded by a tea meeting, of sunday school worker"
