BL_ID,Category,Collection,Articles,Location,Title
0003537,London,HMD,1924,"London, England","British Miner and General Newsman"
0002244,London,HMD,1025,"London, England","Colored News."
0002646,London,HMD,203386,"London, England","Star."
0002247,London,HMD,35999,"London, England","The Bee-Hive"
0002249,London,HMD,19977,"London, England","The Bee-Hive."
0002643,London,HMD,114487,"London, England","The British Press; or, Morning Literary Advertiser."
0003541,London,HMD,4578,"London, England","The Commonwealth."
0002642,London,HMD,368107,"London, England","The Express."
0002250,London,HMD,4278,"London, England","The Industrial Review, Social and Political."
0003539,London,HMD,7159,"London, England","The Miner and Workman's Advocate."
0003538,London,HMD,1057,"London, England","The Miner."
0002644,London,HMD,38578,"London, England","The National Register."
0002248,London,HMD,943,"London, England","The Penny Bee-Hive."
0002645,London,HMD,25434,"London, England","The Press."
0002647,London,HMD,77439,"London, England","The Statesman."
0002194,London,HMD,1625117,"London, England","The Sun."
0003540,London,HMD,1241,"London, England","The Workman's Advocate."
0003043,Provincial,LwM,13110,"Alston, Cumbria, England","Alston Herald, and East Cumberland Advertiser."
0003104,Provincial,LwM,32460,"Gelligaer, Mid Glamorgan, Wales","Bargoed Journal."
0003041,Provincial,LwM,636,"Barnsley, South Yorkshire, England","Barnsley Telephone."
0003048,Provincial,LwM,11858,"Beverley, Humberside, England","Beverley and East Riding Telegraph."
0003038,Provincial,LwM,274608,"Blackpool, Lancashire, England","Blackpool Herald and Fylde Advertiser."
0003052,Provincial,LwM,17751,"Blandford, Dorset, England","Blandford Weekly News."
0003054,Provincial,LwM,23061,"Blandford, Dorset, England","Blandford, Wimborne and Poole Telegram."
0003057,Provincial,LwM,39163,"Bridgend, Mid Glamorgan, Wales","Bridgend & Neath Chronicle, and County of Glamorgan Advertiser."
0003056,Provincial,LwM,56335,"Bridgend, Mid Glamorgan, Wales","Bridgend Chronicle, Cowbridge, Llantrisant, and Maesteg Advertiser."
0003059,Provincial,LwM,91095,"Bridlington, Humberside, England","Bridlington and Quay Gazette."
0003060,Provincial,LwM,61261,"Bridport, Dorset, England","Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser."
0003061,Provincial,LwM,74918,"Brighouse, West Yorkshire, England","Brighouse & Rastrick Gazette."
0003062,Provincial,LwM,8757,"Brighouse, West Yorkshire, England","Brighouse Gazette and Local Railway Guide."
0002972,Provincial,LwM,559,"Stourbridge, West Midlands, England","Cradley Heath & Stourbridge Observer."
0003401,Provincial,LwM,9889,"Darlington, Durham, England","Darlington & Richmond Herald."
0002618,Provincial,LwM,4623,"Denton, Greater Manchester, England","Denton & Haughton Weekly News, and Audenshaw, Hooley Hill, and Dukinfield Advertiser."
0002619,Provincial,LwM,9293,"Denton, Greater Manchester, England","Denton Examiner, Audenshaw, Hooley Hill and Dukinfield Advertiser."
0002620,Provincial,LwM,56346,"Denton, Greater Manchester, England","Denton and Haughton Examiner, etc."
0003089,Provincial,LwM,162766,"Glasgow, Strathclyde, Scotland","Glasgow Courier."
0003063,Provincial,LwM,2026,"Halifax, West Yorkshire, England","Halifax Local Opinion."
0003087,Provincial,LwM,10268,"Irvine, Strathclyde, Scotland","Irvine Express and North Ayrshire Post."
0003086,Provincial,LwM,10178,"Irvine, Strathclyde, Scotland","Irvine Express."
...
0002601,Provincial,LwM,268014,"Widnes, Cheshire, England","Widnes Examiner."
