word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
tobacco,1850,0,483,2,4.9151,True,"...n two 0 colours, at half-a-crown a hundred by charles willmer, general printer,. northern tidies office, 19, south john-street, liverpool. cigars and tobacco in bond, for "
tobacco,1850,0,483,3,5.0368,True,"cigars and tobacco in bond, for ship's stores and exportation. charles turmeau, 11, castle-street. 11hompson and capper's homeopathic oa dietetic cocoa. the utmost care..."
tobacco,1850,0,483,5,5.1769,True,"...ed in two colours, at half-a-crown a hundred by charles willmer, general printer, northern timis office, 19, south john-street, liverpool. cigars and tobacco in bond, for ship"
tobacco,1850,0,483,6,5.2362,True,"...ed in two colours, at half-a.crown a hundred by charles willmer, general printer, northern times office, 19, south john-street, liverpool. cigars and tobacco in bond, for ship"
tobacco,1850,0,483,8,5.2555,True,"cigars and tobacco in bond, for ships' stores and exportation. turmeau brothers, 11, castle-street. by her majesty's royal letters patent (cooper's patent).—the patent ..."
tobacco,1850,0,483,9,5.2683,True,"cigars and tobacco in bond, for ship's stores and exportation. turmeatj brothers, 11, castle-street. try the working tailors' associa- tion, 19, williamson-street, chur..."
tobacco,1850,0,483,11,5.282,True,"cigars and tobacco in bond, for ship's stores and exportation turmeau brothers, 11, castle-street. wholesale tobacconist, toy and fancy warehouse. toijis selig, 43 and ..."
tobacco,1850,0,483,12,5.3437,True,"...ed in two colours, at half-a•crown a hundred by charles willmer, general printer, northern times office, 19, south john-street, liverpool. cigars and tobacco in bond, for ship"
tobacco,1850,0,483,14,5.3899,True,"...sea gonnoerhcea specific tasteless, speedy, & certain. richard bird, chemist, 4. exchange-street eas'e', ive sole agent. in cases at 4s. 6d cigars nd tobacco in bond, for hip's store s and exportatio"
tobacco,1850,0,483,15,5.4318,True,"...pecific. tasteless, speedy, & certain. richard bird, chemist, 4, exchange-street east, liverpool. sole agent. in cases at 4s. 6d. and ile. cigars and tobacco in bond, for ship's "
tobacco,1850,0,483,16,5.4953,True,"tobacco in bond, for ship's stores and exportation. tiirmeau brothers, 11, castle-street. foreign correspondence.—a superior lot of foreign post paper, on sa..."
tobacco,1850,0,483,20,5.5113,True,"the tobacco trade. on tuesday a deputation of the leading merchants of the city of london waited upon the chancellor of the exchequer, with refer: uce to the tob..."
tobacco,1850,0,483,21,5.5261,True,"excise prosecution mr. bei!lie and mr. aitchison sat on tuesday, in the justice of peace court, to hear a case in vi hich mr. robert gordon, tobacco-manufacturer, was charged with having, on the ist o"
tobacco,1850,0,483,23,5.5806,True,"the tobacco trade. a meeting, convened by advertisement in the newspsli was held in the clarendon rooms yesterday, at 12 o'clos_g noon, at which time about 50 ge..."
tobacco,1850,0,483,24,5.5902,True,"the support of our established en, education—the efficient maintenance meets—the je-' cigars and tobaccos. the most extensive and best selected stock in the city,. at greatly reduced prices. thema ns "
tobacco,1850,0,483,25,5.6046,True,"tobacco and cigars..., been heavy, and prtees plian-ce wi h t.o doulofts voted in tli negative toom4s, wig seveitd-ollie.r demoitrat; £he effect of the amend..."
tobacco,1850,0,483,27,5.6292,True,"cigars and tobacco in bond, for rip's stores and exportation. charles turmeau, 11, castle-street. by herimajesty's royal letters patent. wrigley's improved cavendish cu..."
tobacco,1850,0,483,29,5.6443,True,"ciga and tobacco in bond, for ship's stores and exportation. titrmea ii brothers, 11, castle-street. vauxhall' steam saw mills, 165, vauxhall road, jenbinson and post..."
tobacco,1850,0,483,30,5.6508,True,"...erpool. -- in liverpool the trade is in the hands of balf-a-dozen importers, and just the same number of brokers. there are 22 manufacturers, and 160 tobacconists or retailers."
tobacco,1850,0,483,35,5.696,True,"nelson & co., patentees and manufacturers. 74, lord-street, favrapnol • cigars and tobacco in bond, for ship's stores and exportation. turmeau brothers, 11, castle-street. five quires superfine note p"
tobacco,1850,0,483,36,5.6992,True,"excise prosecution mr. bei!lie and mr. aitchison sat on tuesday, in the justice of peace court, to hear a case in vi hich mr. robert gordon, tobacco-manufacturer, was charged with having, on the ist o"
tobacco,1850,0,483,40,5.7204,True,"n.b.—ln consequence of the great increase of business in ready-made clothing, the piece goods and i order department is removed up stairs. cigars and tobacco in bond, for s rip's sto et es and export "
tobacco,1850,0,483,42,5.7356,True,"cigars and tobacco in bond, for ship's stores and exportation. tiirmeaii brothers, 11, castle-street. to merchants and shippers.—john gosnell & co.'s celebrated perfume..."
tobacco,1850,0,483,44,5.764,True,"cultivation of tobacco. from a report addressed to the agricultural so- ciety of algiers, it appears that while in 1848 the province of algiers only produced 138,574 kilog...."
tobacco,1850,0,483,45,5.7781,True,"cigars and tobacco in bond, for ship's stores and exportation. charles turmeaii, 11, castle-street. virs. brook, widow of the late mr, brook, surgeon chiropodist, of no..."
tobacco,1850,0,483,46,5.7868,True,"arrest of four smugglers. seizure of a sloop and a laroe quantity of tobacco. on wednesday morning last four men, named re- spectively james rickards, 60; edward rickards, 43; james rickards, the youn"
tobacco,1850,0,483,47,5.8252,True,"brands already evince a disposition to hold for better prices. in bulk beers a steady demand continues, without change in prices. holders of tobacco are decidedly firmer, the late inclina- tion to sel"
tobacco,1850,0,483,48,5.8302,True,"arrest of four smugglers. seizure of a sloop and a laroe quantity of tobacco. on wednesday morning last four men, named re- spectively james rickards, 60; edward rickards, 43; james rickards, the youn"
tobacco,1850,0,483,49,5.8336,True,"cigars and tobacco in bond, for siiip's storrs and exportation turmeau brothers, 11, castle-street. to buyers of flannels. real welsh flannels, considerably under value..."
tobacco,1850,0,483,50,5.8343,True,"contracts for wine, coco .1, tea, tobacco, and soap. department of the comptroller for victualling and transport services, somerset-place, june 14, 1852. the commissioners for executing the o..."
tobacco,1850,0,483,52,5.8364,True,"cigars and tobacco in bond, for ships' stores and exportation. turmeau brothers, 11. castle-street. to shipowners and emigration agents. patent emigration ship candle l..."
tobacco,1850,0,483,55,5.8549,True,"pro- surrendered until cleared. future linpor- -ist all tobacco introduced by the -•nt of the' bat ), on the other of tin end i o per con upon ship!' british -b oreign •es sr cent. made for obaeco as "
tobacco,1850,0,483,56,5.8568,True,"contracts for wine, cocoa., tea., tobacco, and soap. • department of the comptroller for victualling and transport services, somerset-place, jane 14, 1852. the commissioners for executing the..."
tobacco,1850,0,483,57,5.86,True,"cigars and tobacco in bond, for siiip's stores and exportation. turmeau brothers, 11, castle-street."
